model_id,provider,type,lifecycle,input_type,output_type,pricing
0xsero-glm-4.7-reap-218b-a32b-w4a16,Zhipu AI,Chat completion,,,,
0xsero-glm-4.7-reap-50-w4a16,Zhipu AI,Chat completion,,,,
ALLaM-2-7b-instruct,SDAIA,Chat completion,,,,
Atomica,Microsoft,Embeddings,,,,
Aurora,Microsoft,Environmental forecasting,,,,
AutoML-Image-Classification,Microsoft,Image classification,,,,
AutoML-Image-Instance-Segmentation,NVIDIA,Image segmentation,,,,
AutoML-Image-Object-Detection,Microsoft,Object detection,,,,
Azure-AI-Content-Safety,Microsoft,"Content safety,Content filters,Responsible AI",,,,
Azure-AI-Content-Understanding,Microsoft,"Intelligent content processing,Custom extraction,Image analysis,Text analysis,Video analysis,Document analysis,Audio analysis",,,,
Azure-AI-Document-Intelligence,Microsoft,"Intelligent document processing,Document ingestion,Custom extraction",,,,
Azure-AI-Vision,Microsoft,"Face detection,Image analysis,Optical character recognition",,,,
Azure-Content-Understanding-Layout,Microsoft,"Intelligent content processing,Custom extraction,Text analysis,Document analysis",,,,
Azure-Content-Understanding-Read,Microsoft,"Intelligent content processing,Custom extraction,Text analysis,Document analysis",,,,
Azure-Language-Conversational-PII-redaction,Microsoft,Conversation pii extraction,,,,
Azure-Language-Document-PII-redaction,Microsoft,Document pii extraction,,,,
Azure-Language-Language-detection,Microsoft,Detect language,,,,
Azure-Language-Text-Analytics-for-Health,Microsoft,Health entity extraction,,,,
Azure-Language-Text-PII-redaction,Microsoft,Text pii extraction,,,,
Azure-Speech-Speech-Translation,Microsoft,"Translation,Speech translation",,,,
Azure-Speech-Speech-to-text,Microsoft,"Automatic speech recognition,Speech to text",,,,
Azure-Speech-Text-to-speech,Microsoft,"Text to speech,Audio generation",,,,
Azure-Speech-Text-to-speech-Avatar,Microsoft,"Video generation,Audio generation",,,,
Azure-Speech-Voice-Live,Microsoft,"Conversational AI,Speech to text,Text to speech",,,,
Azure-Translator-Document-translation,Microsoft,"Translation,Document translation",,,,
Azure-Translator-Text-translation,Microsoft,"Translation,Document translation",,,,
BioEmu,Microsoft,Protein structure prediction,,,,
BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,HuggingFace,Zero shot image classification,,,,
Boltz-1,Microsoft,Embeddings,,,,
Boltz2-NIM-microservice,NVIDIA,Structure Prediction,,,,
Bria-2.3-Fast,Bria AI,Text to image,,,,
Cell2Sentence-Embedding,Microsoft,Embedding,,,,
Cerence-CaLLM-Edge,Cerence,Chat completion,,,,
CodeLlama-13b-Instruct-hf,Meta,Text generation,,,,
CodeLlama-13b-Python-hf,Meta,Text generation,,,,
CodeLlama-13b-hf,Meta,Text generation,,,,
CodeLlama-34b-Instruct-hf,Meta,Text generation,,,,
CodeLlama-34b-Python-hf,Meta,Text generation,,,,
CodeLlama-34b-hf,Meta,Text generation,,,,
CodeLlama-70b-Instruct-hf,Meta,Text generation,,,,
CodeLlama-70b-Python-hf,Meta,Text generation,,,,
CodeLlama-70b-hf,Meta,Text generation,,,,
CodeLlama-7b-Instruct-hf,Meta,Text generation,,,,
CodeLlama-7b-Python-hf,Meta,Text generation,,,,
CodeLlama-7b-hf,Meta,Text generation,,,,
Codestral-2501,Mistral AI,Chat completion,,,,
Cohere-embed-v3-english,Cohere,Embeddings,,,,
Cohere-embed-v3-multilingual,Cohere,Embeddings,,,,
Cohere-rerank-v4.0-fast,Cohere,Text classification,,,,
Cohere-rerank-v4.0-pro,Cohere,Text classification,,,,
Cosmos-reason1-NIM-microservice,NVIDIA,"Task completion verification,Action affordance,Next plausible action prediction",,,,
CxrReportGen,Microsoft,Image text to text,,,,
CxrReportGen-Premium,Microsoft,Image text to text,,,,
